id_proyecto,titulo,id_fragmento,campo_origen,id_indicador,indicador,categoria,ambito,score_semantico,evidencia_original
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::nombre_producto::6,nombre_producto,SAL-01,El proyecto fortalece el bienestar físico y mental de la población.,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,0.529028,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study"
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::nombre_producto::6,nombre_producto,COL-01,"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",CONDICIONES_COLABORACION,,0.522887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study"
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::nombre_producto::6,nombre_producto,SAL-06,El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,0.49968,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study"
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::7,resumen,SAL-01,El proyecto fortalece el bienestar físico y mental de la población.,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,0.548309,"Background: Globally, mental health (MH) problems increasingly affect young people, contributing significantly to disability and disease. In low- and middle-income countries, such as Colombia, barriers to accessing care exacerbate the treatment gap. In addition, the lack of widespread digital interventions further deepens the digital health divide between the Global North and Global South, limiting equitable access to innovative MH solutions. Objective: This study aims to co-design and develop an MH platform using participatory design methodologies and conduct a 15-month naturalistic observational trial to assess its feasibility among Colombian youth. Methods: This study used a mixed methods approach within a structured research and development cycle."
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::7,resumen,SAL-03,El proyecto implementa acciones orientadas a mejorar la calidad de vida de personas en situación de discapacidad.,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,0.48905,"Background: Globally, mental health (MH) problems increasingly affect young people, contributing significantly to disability and disease. In low- and middle-income countries, such as Colombia, barriers to accessing care exacerbate the treatment gap. In addition, the lack of widespread digital interventions further deepens the digital health divide between the Global North and Global South, limiting equitable access to innovative MH solutions. Objective: This study aims to co-design and develop an MH platform using participatory design methodologies and conduct a 15-month naturalistic observational trial to assess its feasibility among Colombian youth. Methods: This study used a mixed methods approach within a structured research and development cycle."
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::7,resumen,SAL-06,El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,0.459936,"Background: Globally, mental health (MH) problems increasingly affect young people, contributing significantly to disability and disease. In low- and middle-income countries, such as Colombia, barriers to accessing care exacerbate the treatment gap. In addition, the lack of widespread digital interventions further deepens the digital health divide between the Global North and Global South, limiting equitable access to innovative MH solutions. Objective: This study aims to co-design and develop an MH platform using participatory design methodologies and conduct a 15-month naturalistic observational trial to assess its feasibility among Colombian youth. Methods: This study used a mixed methods approach within a structured research and development cycle."
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::8,resumen,TEC-02,El proyecto incluye procesos participativos de validación tecnológica con usuarios reales.,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,0.628831,"To ensure a user-centered design, we began with a series of co-design workshops, where stakeholders collaboratively identified key user needs. Following this, usability testing was conducted in 2 stages, alpha and beta, using the System Usability Scale (SUS) to assess functionality and user experience. To capture real-world interactions, a naturalistic observational trial ran from July 2022 to October 2023, collecting data on user engagement and system performance. This study integrated quantitative and qualitative analyses. Results: A total of 146 individuals participated in the co-design process, with 110 (75.3%) contributing to the development of platform components and 36 (24.7%) participating in usability testing."
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::8,resumen,DIV-04,"Nivel en que los resultados, metodologías o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por públicos diversos.",DIVULGACION,,0.524928,"To ensure a user-centered design, we began with a series of co-design workshops, where stakeholders collaboratively identified key user needs. Following this, usability testing was conducted in 2 stages, alpha and beta, using the System Usability Scale (SUS) to assess functionality and user experience. To capture real-world interactions, a naturalistic observational trial ran from July 2022 to October 2023, collecting data on user engagement and system performance. This study integrated quantitative and qualitative analyses. Results: A total of 146 individuals participated in the co-design process, with 110 (75.3%) contributing to the development of platform components and 36 (24.7%) participating in usability testing."
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::8,resumen,COL-01,"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",CONDICIONES_COLABORACION,,0.49135,"To ensure a user-centered design, we began with a series of co-design workshops, where stakeholders collaboratively identified key user needs. Following this, usability testing was conducted in 2 stages, alpha and beta, using the System Usability Scale (SUS) to assess functionality and user experience. To capture real-world interactions, a naturalistic observational trial ran from July 2022 to October 2023, collecting data on user engagement and system performance. This study integrated quantitative and qualitative analyses. Results: A total of 146 individuals participated in the co-design process, with 110 (75.3%) contributing to the development of platform components and 36 (24.7%) participating in usability testing."
2-s2.0-105005783887,"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",2-s2.0-105005783887::resumen::9,resumen,TEC-02,El proyecto incluye procesos participativos de validación tecnológica con usuarios reales.,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,0.452889,"The co-designed platform integrated several key features, including social media and advertising, an MH screening tool, registration, targeted psychoeducational resources, automated tailored recommendations, and a ""track-as-you-go"" feature for continuous MH monitoring. Additional elements included user-friendly follow-up graphs, telecounseling integration, customizable well-being nudges, an emergency button, and gamification components to enhance engagement. During usability testing, the beta prototype received a median SUS score of 85.0 (IQR 80-92.5), indicating high usability. In the subsequent observational trial, which ran from July 2022 to October 2023, a total of 435 users interacted with the platform—314 (72.2%) as registered users and 121 (27.8%) anonymously."
