id_nodo,tipo,nombre,id_indicador,id_proyecto,id_fragmento,campo_origen,idioma,texto
"INDICADOR::el proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los metodos, tipos de analisis y perspectivas conceptuales utilizadas.",INDICADOR,"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",COL-01,,,,,
CATEGORIA_INDICADOR::condiciones_colaboracion,CATEGORIA_INDICADOR,CONDICIONES_COLABORACION,,,,,,
INDICADOR::el proyecto cuenta con la participacion activa y significativa de actores externos (academicos y/o no academicos) en distintas etapas del proceso investigativo.,INDICADOR,El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.,COL-02,,,,,
"INDICADOR::nivel de participacion efectiva de actores de la comunidad, estado, sociedad o empresa en la formulacion, ejecucion y evaluacion del proyecto.",INDICADOR,"Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.",COL-03,,,,,
INDICADOR::el proyecto establece mecanismos para el dialogo de saberes entre actores academicos y otros actores sociales.,INDICADOR,El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.,ASC-01,,,,,
CATEGORIA_INDICADOR::apropiacion_social,CATEGORIA_INDICADOR,APROPIACION_SOCIAL,,,,,,
"INDICADOR::la solucion generada por el proyecto es usada, adaptada, replicada o sostenida por la comunidad, territorio o entidad beneficiaria.",INDICADOR,"La solución generada por el proyecto es usada, adaptada, replicada o sostenida por la comunidad, territorio o entidad beneficiaria.",ASC-02,,,,,
"INDICADOR::los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interes.",INDICADOR,"Los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interés.",ASC-03,,,,,
INDICADOR::el proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a publicos no especializados.,INDICADOR,El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.,DIV-01,,,,,
CATEGORIA_INDICADOR::divulgacion,CATEGORIA_INDICADOR,DIVULGACION,,,,,,
"INDICADOR::numero de productos (comunicados, articulos, blogs, libros, videos, material para redes sociales, entre otros) disenados y utilizados para comunicar los resultados del proyecto a publicos diversos.",INDICADOR,"Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.",DIV-02,,,,,
INDICADOR::numero de menciones en medios de comunicacion y redes sociales de los hallazgos del proyecto.,INDICADOR,Número de menciones en medios de comunicación y redes sociales de los hallazgos del proyecto.,DIV-03,,,,,
"INDICADOR::nivel en que los resultados, metodologias o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por publicos diversos.",INDICADOR,"Nivel en que los resultados, metodologías o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por públicos diversos.",DIV-04,,,,,
INDICADOR::numero de espacios publicos promovidos por el proyecto para debatir la problematica investigativa y social mas alla del ambito academico.,INDICADOR,Número de espacios públicos promovidos por el proyecto para debatir la problemática investigativa y social más allá del ámbito académico.,DIV-05,,,,,
"INDICADOR::el proyecto fortalece procesos de construccion, preservacion y revitalizacion de la memoria e identidad cultural en comunidades o territorios.",INDICADOR,"El proyecto fortalece procesos de construcción, preservación y revitalización de la memoria e identidad cultural en comunidades o territorios.",CUL-01,,,,,
CATEGORIA_INDICADOR::impacto_mas_alla_academia,CATEGORIA_INDICADOR,IMPACTO_MAS_ALLA_ACADEMIA,,,,,,
"INDICADOR::el proyecto promueve la conservacion, valorizacion o enriquecimiento del patrimonio cultural, ya sea material o inmaterial.",INDICADOR,"El proyecto promueve la conservación, valorización o enriquecimiento del patrimonio cultural, ya sea material o inmaterial.",CUL-02,,,,,
INDICADOR::mejora en la calidad de vida o bienestar atribuida al proyecto.,INDICADOR,Mejora en la calidad de vida o bienestar atribuida al proyecto.,SOC-01,,,,,
"INDICADOR::el proyecto contribuye a consolidar redes de colaboracion y alianzas entre comunidades, organizaciones e instituciones.",INDICADOR,"El proyecto contribuye a consolidar redes de colaboración y alianzas entre comunidades, organizaciones e instituciones.",SOC-02,,,,,
