origen,destino,tipo_relacion,peso,score_semantico,campo_origen
"INDICADOR::el proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los metodos, tipos de analisis y perspectivas conceptuales utilizadas.",CATEGORIA_INDICADOR::condiciones_colaboracion,PERTENECE_A,1.0,,
INDICADOR::el proyecto cuenta con la participacion activa y significativa de actores externos (academicos y/o no academicos) en distintas etapas del proceso investigativo.,CATEGORIA_INDICADOR::condiciones_colaboracion,PERTENECE_A,1.0,,
"INDICADOR::nivel de participacion efectiva de actores de la comunidad, estado, sociedad o empresa en la formulacion, ejecucion y evaluacion del proyecto.",CATEGORIA_INDICADOR::condiciones_colaboracion,PERTENECE_A,1.0,,
INDICADOR::el proyecto establece mecanismos para el dialogo de saberes entre actores academicos y otros actores sociales.,CATEGORIA_INDICADOR::apropiacion_social,PERTENECE_A,1.0,,
"INDICADOR::la solucion generada por el proyecto es usada, adaptada, replicada o sostenida por la comunidad, territorio o entidad beneficiaria.",CATEGORIA_INDICADOR::apropiacion_social,PERTENECE_A,1.0,,
"INDICADOR::los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interes.",CATEGORIA_INDICADOR::apropiacion_social,PERTENECE_A,1.0,,
INDICADOR::el proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a publicos no especializados.,CATEGORIA_INDICADOR::divulgacion,PERTENECE_A,1.0,,
"INDICADOR::numero de productos (comunicados, articulos, blogs, libros, videos, material para redes sociales, entre otros) disenados y utilizados para comunicar los resultados del proyecto a publicos diversos.",CATEGORIA_INDICADOR::divulgacion,PERTENECE_A,1.0,,
INDICADOR::numero de menciones en medios de comunicacion y redes sociales de los hallazgos del proyecto.,CATEGORIA_INDICADOR::divulgacion,PERTENECE_A,1.0,,
"INDICADOR::nivel en que los resultados, metodologias o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por publicos diversos.",CATEGORIA_INDICADOR::divulgacion,PERTENECE_A,1.0,,
INDICADOR::numero de espacios publicos promovidos por el proyecto para debatir la problematica investigativa y social mas alla del ambito academico.,CATEGORIA_INDICADOR::divulgacion,PERTENECE_A,1.0,,
"INDICADOR::el proyecto fortalece procesos de construccion, preservacion y revitalizacion de la memoria e identidad cultural en comunidades o territorios.",CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
"INDICADOR::el proyecto promueve la conservacion, valorizacion o enriquecimiento del patrimonio cultural, ya sea material o inmaterial.",CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
INDICADOR::mejora en la calidad de vida o bienestar atribuida al proyecto.,CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
"INDICADOR::el proyecto contribuye a consolidar redes de colaboracion y alianzas entre comunidades, organizaciones e instituciones.",CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
"INDICADOR::el proyecto contribuyo a enfrentar desigualdades, exclusion o injusticia, promoviendo justicia social, equidad, inclusion y respeto a los derechos humanos.",CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
INDICADOR::numero de beneficiarios directos e indirectos.,CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
INDICADOR::el proyecto desarrolla productos tecnologicos con participacion de actores no academicos o sectores aplicados.,CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
INDICADOR::el proyecto incluye procesos participativos de validacion tecnologica con usuarios reales.,CATEGORIA_INDICADOR::impacto_mas_alla_academia,PERTENECE_A,1.0,,
