numero_proyecto,id_proyecto,titulo,id_indicador,categoria,ambito,indicador,tipo_indicador,forma_evaluacion,unidad,estado,valor_detectado,evidencia,justificacion,confianza
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],COL-01,CONDICIONES_COLABORACION,,"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",CUALITATIVO,PRESENCIA,,EVIDENCIA_PARCIAL,,Social Networks Analysis,El estudio combina análisis económico-sectorial con análisis de redes sociales y teoría de grafos. No describe de forma suficiente un enfoque interdisciplinario en todo el planteamiento del problema.,0.82
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],COL-02,CONDICIONES_COLABORACION,,El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.,CUALITATIVO,PRESENCIA,,SIN_EVIDENCIA,,,No se describe participación activa de actores externos en las etapas de la investigación.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],COL-03,CONDICIONES_COLABORACION,,"Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.",CUALITATIVO,NIVEL,,SIN_EVIDENCIA,,,"El resumen no informa participación de comunidad, Estado, sociedad o empresas en el proyecto.",0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ASC-01,APROPIACION_SOCIAL,,El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.,CUALITATIVO,PRESENCIA,,SIN_EVIDENCIA,,,No se reportan mecanismos de diálogo de saberes entre actores académicos y sociales.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ASC-02,APROPIACION_SOCIAL,,"La solución generada por el proyecto es usada, adaptada, replicada o sostenida por la comunidad, territorio o entidad beneficiaria.",CUALITATIVO,PRESENCIA,,SIN_EVIDENCIA,,,"No se informa uso, adaptación, réplica o sostenimiento de una solución por beneficiarios externos.",0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ASC-03,APROPIACION_SOCIAL,,"Los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interés.",CUALITATIVO,PRESENCIA,,SIN_EVIDENCIA,,,No se describen materiales entregados ni valoración de grupos de interés.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],DIV-01,DIVULGACION,,El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.,CUALITATIVO,PRESENCIA,,SIN_EVIDENCIA,,,No se describen estrategias o productos dirigidos a públicos no especializados.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],DIV-02,DIVULGACION,,"Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.",CUANTITATIVO,CONTEO,productos,SIN_EVIDENCIA,,,No se reporta un número de productos de comunicación de resultados.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],DIV-03,DIVULGACION,,Número de menciones en medios de comunicación y redes sociales de los hallazgos del proyecto.,CUANTITATIVO,CONTEO,menciones,SIN_EVIDENCIA,,,No se reportan menciones en medios de comunicación o redes sociales.,0.99
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],DIV-04,DIVULGACION,,"Nivel en que los resultados, metodologías o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por públicos diversos.",CUALITATIVO,NIVEL,,SIN_EVIDENCIA,,,"No se informa difusión abierta, reutilizable o aprovechamiento de materiales por públicos diversos.",0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],DIV-05,DIVULGACION,,Número de espacios públicos promovidos por el proyecto para debatir la problemática investigativa y social más allá del ámbito académico.,CUANTITATIVO,CONTEO,espacios_publicos,SIN_EVIDENCIA,,,No se describen espacios públicos promovidos por el proyecto.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],CUL-01,IMPACTO_MAS_ALLA_ACADEMIA,CULTURA,"El proyecto fortalece procesos de construcción, preservación y revitalización de la memoria e identidad cultural en comunidades o territorios.",CUALITATIVO,CAMBIO,,NO_APLICA,,,"El proyecto es un análisis económico-sectorial y de redes, sin un componente de memoria o identidad cultural.",0.95
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],CUL-02,IMPACTO_MAS_ALLA_ACADEMIA,CULTURA,"El proyecto promueve la conservación, valorización o enriquecimiento del patrimonio cultural, ya sea material o inmaterial.",CUALITATIVO,CAMBIO,,NO_APLICA,,,El estudio no aborda patrimonio cultural material o inmaterial.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SOC-01,IMPACTO_MAS_ALLA_ACADEMIA,SOCIEDAD,Mejora en la calidad de vida o bienestar atribuida al proyecto.,CUALITATIVO,CAMBIO,,SIN_EVIDENCIA,,,No se atribuye una mejora de bienestar o calidad de vida a la ejecución del proyecto.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SOC-02,IMPACTO_MAS_ALLA_ACADEMIA,SOCIEDAD,"El proyecto contribuye a consolidar redes de colaboración y alianzas entre comunidades, organizaciones e instituciones.",CUALITATIVO,CAMBIO,,SIN_EVIDENCIA,,,"Las redes analizadas son relaciones intersectoriales, no redes de colaboración creadas o consolidadas por el proyecto.",0.94
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SOC-03,IMPACTO_MAS_ALLA_ACADEMIA,SOCIEDAD,"El proyecto contribuyó a enfrentar desigualdades, exclusión o injusticia, promoviendo justicia social, equidad, inclusión y respeto a los derechos humanos.",CUALITATIVO,CAMBIO,,EVIDENCIA_PARCIAL,,to promote the strengthening of peaceful coexistence in Colombia,"El texto plantea una posible contribución al fortalecimiento de la convivencia pacífica. No demuestra un resultado del proyecto frente a desigualdades, exclusión o justicia social.",0.72
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SOC-04,IMPACTO_MAS_ALLA_ACADEMIA,SOCIEDAD,Número de beneficiarios directos e indirectos.,CUANTITATIVO,CONTEO,beneficiarios,EVIDENCIA_PARCIAL,,"they gave work to almost 540,000 people","Se informa población vinculada laboralmente a cooperativas, pero no beneficiarios directos o indirectos del proyecto.",0.75
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-01,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,El proyecto desarrolla productos tecnológicos con participación de actores no académicos o sectores aplicados.,CUALITATIVO,PRESENCIA,,NO_APLICA,,,El proyecto es un estudio analítico y no plantea desarrollo de productos tecnológicos.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-02,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,El proyecto incluye procesos participativos de validación tecnológica con usuarios reales.,CUALITATIVO,PRESENCIA,,NO_APLICA,,,La naturaleza analítica del estudio no incluye validación tecnológica con usuarios.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-03,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,Los resultados tecnológicos son desarrollados con potencial de comercialización.,CUALITATIVO,PRESENCIA,,NO_APLICA,,,No corresponde a un proyecto orientado al desarrollo o comercialización de resultados tecnológicos.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-04,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,El proyecto utiliza tecnología para maximizar el impacto positivo en comunidades o actores destinatarios.,CUALITATIVO,PRESENCIA,,NO_APLICA,,,"El análisis de redes es un método de investigación, no una tecnología aplicada para maximizar impacto en destinatarios.",0.93
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-05,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,El proyecto genera desarrollos tecnológicos originales con aplicación demostrada fuera del ámbito académico.,CUALITATIVO,PRESENCIA,,NO_APLICA,,,El proyecto no desarrolla tecnologías originales aplicadas fuera de la academia.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-06,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,El proyecto aplica tecnologías preexistentes de forma novedosa y contextualizada para resolver problemas locales.,CUALITATIVO,PRESENCIA,,NO_APLICA,,,No se plantea la aplicación novedosa de tecnologías para resolver problemas locales.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],TEC-07,IMPACTO_MAS_ALLA_ACADEMIA,TECNOLOGIA,"Las soluciones tecnológicas generadas por el proyecto son adoptadas, adaptadas o sostenidas por actores de interés externos a la academia.",CUALITATIVO,PRESENCIA,,NO_APLICA,,,No se generan soluciones tecnológicas susceptibles de adopción externa.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-01,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,"El proyecto genera ingresos adicionales mediante la implementación, validación o comercialización de procesos, metodologías o productos nuevos o mejorados.",CUALITATIVO,CAMBIO,,SIN_EVIDENCIA,,,"Las cifras económicas describen el cooperativismo, no ingresos adicionales generados por el proyecto.",0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-02,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,El proyecto logra reducir costos en procesos organizativos o productivos mediante la implementación de mejoras o innovaciones.,CUALITATIVO,CAMBIO,,SIN_EVIDENCIA,,,No se reportan reducciones de costos atribuibles al proyecto.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-03,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,El proyecto genera nuevas oportunidades laborales directas o indirectas.,CUALITATIVO,CAMBIO,,EVIDENCIA_PARCIAL,,"they gave work to almost 540,000 people","El resumen describe empleo asociado al cooperativismo, no oportunidades laborales generadas por la ejecución del proyecto.",0.78
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-04,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,El proyecto fortalece o consolida eslabones clave de la cadena productiva y/o de suministros estratégicos.,CUALITATIVO,CAMBIO,,SIN_EVIDENCIA,,,"Se analizan relaciones intersectoriales, pero no fortalecimiento de cadenas productivas atribuido al proyecto.",0.93
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-05,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,El proyecto contribuye a mejorar prácticas productivas sostenibles en los sectores o territorios involucrados.,CUALITATIVO,CAMBIO,,SIN_EVIDENCIA,,,No se describen prácticas productivas sostenibles mejoradas por el proyecto.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-06,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,"El proyecto impulsa el crecimiento económico de los grupos de interés (medido en TIR, ingresos, calidad de vida, etc.).",CUALITATIVO,CAMBIO,,EVIDENCIA_PARCIAL,,the remarkable importance of the cooperative sector in the Colombian economy,El estudio aporta información sobre el peso económico del cooperativismo. No demuestra crecimiento económico causado por el proyecto.,0.74
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],ECO-07,IMPACTO_MAS_ALLA_ACADEMIA,ECONOMIA,El proyecto promueve capacidades productivas mediante la creación de redes colaborativas o estrategias de economía solidaria.,CUALITATIVO,CAMBIO,,EVIDENCIA_PARCIAL,,"Cooperatives, Solidarity Organizations, Academy and Government",Se menciona la necesidad de construir políticas que reúnan estos actores. No se demuestra que el proyecto haya creado redes o capacidades productivas.,0.7
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],AMB-01,IMPACTO_MAS_ALLA_ACADEMIA,MEDIO_AMBIENTE,"El proyecto desarrolla soluciones ambientales asociadas a servicios ecosistémicos, biodiversidad o sostenibilidad ambiental.",CUALITATIVO,PRESENCIA,,NO_APLICA,,,El proyecto no tiene un objeto ni resultados de carácter ambiental.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],AMB-02,IMPACTO_MAS_ALLA_ACADEMIA,MEDIO_AMBIENTE,"El proyecto genera mejoras sostenibles en el entorno ambiental, económico y social de los grupos de interés.",CUALITATIVO,CAMBIO,,NO_APLICA,,,El estudio no evalúa mejoras ambientales sostenibles generadas por el proyecto.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SAL-01,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,El proyecto fortalece el bienestar físico y mental de la población.,CUALITATIVO,CAMBIO,,NO_APLICA,,,"Aunque analiza el sector salud, el proyecto no desarrolla acciones para fortalecer bienestar físico o mental.",0.95
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SAL-02,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,El proyecto contribuye a prevenir riesgos en salud pública.,CUALITATIVO,CAMBIO,,NO_APLICA,,,El proyecto no aborda intervenciones ni prevención de riesgos de salud pública.,0.97
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SAL-03,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,El proyecto implementa acciones orientadas a mejorar la calidad de vida de personas en situación de discapacidad.,CUALITATIVO,CAMBIO,,NO_APLICA,,,No se describen acciones para personas en situación de discapacidad.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SAL-04,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,El proyecto desarrolla intervenciones que contribuyeron a disminuir tasas de mortalidad en poblaciones específicas.,CUALITATIVO,CAMBIO,,NO_APLICA,,,El proyecto no desarrolla intervenciones sobre mortalidad.,0.99
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SAL-05,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,El proyecto fomenta el diálogo y la integración entre medicina occidental y tradicional/ancestral.,CUALITATIVO,CAMBIO,,NO_APLICA,,,"No aborda medicina occidental, tradicional o ancestral.",0.99
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],SAL-06,IMPACTO_MAS_ALLA_ACADEMIA,SALUD,El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,CUALITATIVO,CAMBIO,,NO_APLICA,,,El estudio no implementa estrategias participativas de cuidado.,0.98
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],POL-01,IMPACTO_MAS_ALLA_ACADEMIA,POLITICA_PUBLICA,"El proyecto facilita la participación activa de los grupos de interés en procesos de formulación, monitoreo o evaluación de políticas públicas o iniciativas de ciencia ciudadana.",CUALITATIVO,PRESENCIA,,SIN_EVIDENCIA,,,No se describe participación activa de grupos de interés en procesos de política pública.,0.96
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],POL-02,IMPACTO_MAS_ALLA_ACADEMIA,POLITICA_PUBLICA,"Número de documentos oficiales (política pública, leyes, regulaciones o decisiones judiciales) que citan resultados del proyecto.",CUANTITATIVO,CONTEO,documentos_oficiales,SIN_EVIDENCIA,,,No se informa que documentos oficiales citen resultados del proyecto.,0.99
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],POL-03,IMPACTO_MAS_ALLA_ACADEMIA,POLITICA_PUBLICA,Número de políticas públicas o programas gubernamentales modificados o implementados con base en hallazgos del proyecto.,CUANTITATIVO,CONTEO,politicas_programas,SIN_EVIDENCIA,,,No se reportan políticas o programas modificados o implementados con base en los hallazgos.,0.99
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],POL-04,IMPACTO_MAS_ALLA_ACADEMIA,POLITICA_PUBLICA,"Número de manuales, herramientas o metodologías derivadas del proyecto y adoptadas por entidades estatales.",CUANTITATIVO,CONTEO,manuales_herramientas_metodologias,SIN_EVIDENCIA,,,"No se describen manuales, herramientas o metodologías adoptadas por entidades estatales.",0.99
1,2-s2.0-85070390287,The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes],POL-05,IMPACTO_MAS_ALLA_ACADEMIA,POLITICA_PUBLICA,Número de participaciones del equipo del proyecto en audiencias legislativas o judiciales.,CUANTITATIVO,CONTEO,participaciones,SIN_EVIDENCIA,,,No se reportan participaciones del equipo en audiencias legislativas o judiciales.,0.99
