project_id,id_indicador,evidence,posible_parafraseo,raw_response
2-s2.0-85070390287,COL-01,"Project ID: 2-s2.0-85070390287
Title: The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes]
Keywords: Colombia | Cooperativism | Impact Evaluation | Public Policies | Sectoral Analysis | Social Networks Analysis | System National Accounts
Abstract: ... On this issue, three indicators bring us the required knowledge: density, the percentage of the links over the possible -total- relationships; cohesion, defined in theory of networks as the effort to relate between nodes, what determines the number of relationships on the shortest path between two nodes; and the degree of centralization -Network Centralization Index, NCI- which is the variability in degrees as a percentage of the maximum centralization; that is to say, in relation to the star network structure, that shows the maximum power of a single productive sector. ...",False,"{""applicable_indicators"": [{""id_indicador"": ""COL-01"", ""evidence"": ""Project ID: 2-s2.0-85070390287\nTitle: The sectoral dimension of Colombian cooperativism through a Social Network Analysis [La dimensión sectorial del cooperativismo colombiano a través de un análisis de redes]\nKeywords: Colombia | Cooperativism | Impact Evaluation | Public Policies | Sectoral Analysis | Social Networks Analysis | System National Accounts\nAbstract: ... On this issue, three indicators bring us the required knowledge: density, the percentage of the links over the possible -total- relationships; cohesion, defined in theory of networks as the effort to relate between nodes, what determines the number of relationships on the shortest path between two nodes; and the degree of centralization -Network Centralization Index, NCI- which is the variability in degrees as a percentage of the maximum centralization; that is to say, in relation to the star network structure, that shows the maximum power of a single productive sector. ...""}], ""References"": [""[1] custom_kg""]}"
2-s2.0-85070390287,ASC-02,"On a sector basis, the Colombian cooperativism was concentrated in Education, Health and Other Personal and Community Services, Financial Intermediation and Trade and Hospitality: they obtained almost 75 percent of GVA and employment, while the same national sectors contributed to those indicators between 40 and 50 percent.",False,"{""applicable_indicators"": [{""id_indicador"": ""ASC-02"", ""evidence"": ""On a sector basis, the Colombian cooperativism was concentrated in Education, Health and Other Personal and Community Services, Financial Intermediation and Trade and Hospitality: they obtained almost 75 percent of GVA and employment, while the same national sectors contributed to those indicators between 40 and 50 percent.""}], ""References"": [""1""]}"
2-s2.0-85070390287,SOC-02,"The study adapts to the economic and social development stage, which is represented by the increase in the cohesion of their inter-sectoral graphs, so they will have opposite effects in recessive phases, with the exception of Electricity, Gas and Water Supplies, Construction, Trade and Hospitality and Financial Intermediation, the branches which cooperativism achieved the greater proportion of the direct employment.",False,"{
  ""applicable_indicators"": [
    {
      ""id_indicador"": ""SOC-02"",
      ""evidence"": ""The study adapts to the economic and social development stage, which is represented by the increase in the cohesion of their inter-sectoral graphs, so they will have opposite effects in recessive phases, with the exception of Electricity, Gas and Water Supplies, Construction, Trade and Hospitality and Financial Intermediation, the branches which cooperativism achieved the greater proportion of the direct employment.""
    }
  ]
}

### References
- [1] custom_kg"
project-row-1,COL-01,"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",True,"```json
{
  ""applicable_indicators"": [
    {
      ""id_indicador"": ""COL-01"",
      ""evidence"": ""El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.""
    },
    {
      ""id_indicador"": ""COL-02"",
      ""evidence"": ""El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.""
    },
    {
      ""id_indicador"": ""COL-03"",
      ""evidence"": ""Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.""
    },
    {
      ""id_indicador"": ""ASC-01"",
      ""evidence"": ""El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.""
    }
  ]
}
```"
project-row-1,COL-02,El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.,True,"```json
{
  ""applicable_indicators"": [
    {
      ""id_indicador"": ""COL-01"",
      ""evidence"": ""El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.""
    },
    {
      ""id_indicador"": ""COL-02"",
      ""evidence"": ""El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.""
    },
    {
      ""id_indicador"": ""COL-03"",
      ""evidence"": ""Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.""
    },
    {
      ""id_indicador"": ""ASC-01"",
      ""evidence"": ""El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.""
    }
  ]
}
```"
project-row-1,COL-03,"Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.",True,"```json
{
  ""applicable_indicators"": [
    {
      ""id_indicador"": ""COL-01"",
      ""evidence"": ""El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.""
    },
    {
      ""id_indicador"": ""COL-02"",
      ""evidence"": ""El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.""
    },
    {
      ""id_indicador"": ""COL-03"",
      ""evidence"": ""Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.""
    },
    {
      ""id_indicador"": ""ASC-01"",
      ""evidence"": ""El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.""
    }
  ]
}
```"
project-row-1,ASC-01,El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.,True,"```json
{
  ""applicable_indicators"": [
    {
      ""id_indicador"": ""COL-01"",
      ""evidence"": ""El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.""
    },
    {
      ""id_indicador"": ""COL-02"",
      ""evidence"": ""El proyecto cuenta con la participación activa y significativa de actores externos (académicos y/o no académicos) en distintas etapas del proceso investigativo.""
    },
    {
      ""id_indicador"": ""COL-03"",
      ""evidence"": ""Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.""
    },
    {
      ""id_indicador"": ""ASC-01"",
      ""evidence"": ""El proyecto establece mecanismos para el diálogo de saberes entre actores académicos y otros actores sociales.""
    }
  ]
}
```"
project-row-1,ASC-02,"Los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interés.",False,"```json
{""applicable_indicators"": [{""id_indicador"": ""ASC-02"", ""evidence"": ""Los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interés.""}, {""id_indicador"": ""DIV-01"", ""evidence"": ""El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.""}, {""id_indicador"": ""DIV-02"", ""evidence"": ""Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.""}]}
```"
project-row-1,DIV-01,El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.,True,"```json
{""applicable_indicators"": [{""id_indicador"": ""ASC-02"", ""evidence"": ""Los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interés.""}, {""id_indicador"": ""DIV-01"", ""evidence"": ""El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.""}, {""id_indicador"": ""DIV-02"", ""evidence"": ""Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.""}]}
```"
project-row-1,DIV-02,"Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.",True,"```json
{""applicable_indicators"": [{""id_indicador"": ""ASC-02"", ""evidence"": ""Los materiales y productos entregados son pertinentes, comprensibles, de alta calidad y valorados positivamente por los grupos de interés.""}, {""id_indicador"": ""DIV-01"", ""evidence"": ""El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.""}, {""id_indicador"": ""DIV-02"", ""evidence"": ""Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.""}]}
```"
